league,date,home,away,p(H),p(D),p(A),ftr
B1,18/09/2021 00:00:00,Charleroi,Club Brugge,0.34513167,0.23447347,0.42039484,
B1,19/09/2021 00:00:00,Kortrijk,Gent,0.24470256,0.25921357,0.49608392,
D1,18/09/2021 00:00:00,Augsburg,Mgladbach,0.30550814,0.2735006,0.4209912,
D1,18/09/2021 00:00:00,Bielefeld,Hoffenheim,0.36383268,0.28996304,0.3462043,
D1,18/09/2021 00:00:00,FC Koln,RB Leipzig,0.3606825,0.26033708,0.37898043,
D1,19/09/2021 00:00:00,Dortmund,Union Berlin,0.68138015,0.19865565,0.11996418,
D2,17/09/2021 00:00:00,Nurnberg,Hansa Rostock,0.525635,0.26160282,0.21276216,
D2,18/09/2021 00:00:00,Fortuna Dusseldorf,Regensburg,0.49643782,0.24143201,0.26213014,
D2,18/09/2021 00:00:00,Sandhausen,Heidenheim,0.32675323,0.2712492,0.4019976,
D2,19/09/2021 00:00:00,Darmstadt,Dresden,0.57056034,0.2340239,0.1954157,
D2,19/09/2021 00:00:00,St Pauli,Ingolstadt,0.6945462,0.19275646,0.11269726,
E0,18/09/2021 00:00:00,Wolves,Brentford,0.2530537,0.28280795,0.46413836,
E0,18/09/2021 00:00:00,Liverpool,Crystal Palace,0.7090541,0.18872708,0.1022188,
E0,18/09/2021 00:00:00,Norwich,Watford,0.43138734,0.26490217,0.30371046,
E0,19/09/2021 00:00:00,Brighton,Leicester,0.43163615,0.26972142,0.2986424,
E0,19/09/2021 00:00:00,Tottenham,Chelsea,0.32770687,0.27119744,0.40109563,
E1,18/09/2021 00:00:00,Barnsley,Blackburn,0.4042821,0.30802396,0.28769392,
E1,18/09/2021 00:00:00,Derby,Stoke,0.37352577,0.28240457,0.34406966,
E1,18/09/2021 00:00:00,Huddersfield,Nottm Forest,0.3727721,0.30551958,0.32170835,
E1,18/09/2021 00:00:00,Middlesbrough,Blackpool,0.3827735,0.2757472,0.3414793,
E1,18/09/2021 00:00:00,Peterboro,Birmingham,0.32116964,0.27228394,0.4065464,
E1,18/09/2021 00:00:00,QPR,Bristol City,0.50806,0.24609019,0.24584988,
E2,18/09/2021 00:00:00,AFC Wimbledon,Plymouth,0.6146424,0.2182651,0.16709249,
E2,18/09/2021 00:00:00,Cheltenham,Oxford,0.37591425,0.26322192,0.36086383,
E2,18/09/2021 00:00:00,Doncaster,Morecambe,0.2816657,0.27121797,0.44711635,
E2,18/09/2021 00:00:00,Gillingham,Milton Keynes Dons,0.3166419,0.28669134,0.3966668,
E2,18/09/2021 00:00:00,Portsmouth,Cambridge,0.37055987,0.28809276,0.34134734,
E2,18/09/2021 00:00:00,Wycombe,Charlton,0.4218972,0.2880551,0.29004773,
E3,18/09/2021 00:00:00,Bradford,Barrow,0.49211502,0.26472476,0.24316016,
E3,18/09/2021 00:00:00,Carlisle,Scunthorpe,0.614784,0.24081898,0.144397,
E3,18/09/2021 00:00:00,Newport County,Walsall,0.4487116,0.28827533,0.2630131,
E3,18/09/2021 00:00:00,Port Vale,Harrogate,0.25814378,0.26689926,0.47495696,
E3,18/09/2021 00:00:00,Tranmere,Salford,0.36610708,0.29592872,0.3379642,
EC,18/09/2021 00:00:00,Grimsby,Eastleigh,0.41927403,0.30076906,0.2799569,
EC,18/09/2021 00:00:00,Torquay,Southend,0.4418331,0.29452476,0.26364213,
EC,18/09/2021 00:00:00,Wrexham,Dag and Red,0.695921,0.20145684,0.1026222,
EC,18/09/2021 00:00:00,Weymouth,Dover Athletic,0.106572196,0.24774885,0.64567894,
F1,18/09/2021 00:00:00,Lens,Lille,0.29379174,0.2570414,0.44916683,
F1,19/09/2021 00:00:00,Nice,Monaco,0.3019727,0.27229515,0.4257321,
F1,19/09/2021 00:00:00,Clermont,Brest,0.55335265,0.24889179,0.19775553,
F1,19/09/2021 00:00:00,Troyes,Montpellier,0.54086465,0.2578008,0.20133457,
F1,19/09/2021 00:00:00,Paris SG,Lyon,0.5542526,0.22626863,0.21947883,
F2,18/09/2021 00:00:00,Toulouse,Grenoble,0.6204283,0.23499312,0.14457858,
F2,18/09/2021 00:00:00,Dijon,Dunkerque,0.30884182,0.29238403,0.39877415,
F2,18/09/2021 00:00:00,Nimes,Amiens,0.4592584,0.28646767,0.2542739,
F2,18/09/2021 00:00:00,Pau FC,Valenciennes,0.47424576,0.26234397,0.26341024,
F2,18/09/2021 00:00:00,Rodez,Ajaccio,0.3827352,0.3213565,0.29590827,
G1,18/09/2021 00:00:00,Giannina,Panathinaikos,0.2925966,0.33169913,0.3757043,
G1,19/09/2021 00:00:00,Atromitos,Panetolikos,0.4227071,0.3000367,0.27725622,
G1,19/09/2021 00:00:00,Asteras Tripolis,PAOK,0.28089187,0.30469593,0.41441223,
I1,17/09/2021 00:00:00,Sassuolo,Torino,0.5235179,0.26604685,0.21043527,
I1,18/09/2021 00:00:00,Inter,Bologna,0.7190837,0.194988,0.08592826,
I1,19/09/2021 00:00:00,Empoli,Sampdoria,0.52597064,0.25576815,0.21826123,
I1,19/09/2021 00:00:00,Lazio,Cagliari,0.7324788,0.17369586,0.09382533,
I1,19/09/2021 00:00:00,Juventus,Milan,0.38876858,0.25117758,0.36005378,
I2,18/09/2021 00:00:00,Ascoli,Benevento,0.5133128,0.27824563,0.20844157,
I2,18/09/2021 00:00:00,Monza,Ternana,0.51758724,0.24649563,0.2359171,
I2,18/09/2021 00:00:00,Reggina,Spal,0.39820394,0.2828365,0.31895953,
I2,18/09/2021 00:00:00,Cittadella,Pordenone,0.64009833,0.2241125,0.13578916,
N1,18/09/2021 00:00:00,Willem II,Groningen,0.29169178,0.27076453,0.43754372,
N1,18/09/2021 00:00:00,Utrecht,Waalwijk,0.6336987,0.21513517,0.15116611,
N1,19/09/2021 00:00:00,PSV Eindhoven,Feyenoord,0.6164761,0.20482235,0.17870162,
N1,19/09/2021 00:00:00,Vitesse,Twente,0.51606315,0.26084104,0.22309579,
P1,18/09/2021 00:00:00,Famalicao,Maritimo,0.36385497,0.27239203,0.36375296,
P1,19/09/2021 00:00:00,Porto,Moreirense,0.6047251,0.23948254,0.15579239,
P1,20/09/2021 00:00:00,Benfica,Boavista,0.6442131,0.22805125,0.12773567,
SC0,18/09/2021 00:00:00,Aberdeen,St Johnstone,0.3192095,0.30764684,0.3731436,
SC0,18/09/2021 00:00:00,Ross County,Hearts,0.12868081,0.23206286,0.6392563,
SC0,19/09/2021 00:00:00,Livingston,Celtic,0.215108,0.25723562,0.5276564,
SC1,18/09/2021 00:00:00,Dunfermline,Inverness C,0.2527463,0.27687445,0.47037926,
SC1,18/09/2021 00:00:00,Morton,Raith Rvs,0.24170807,0.2590965,0.4991955,
SC1,18/09/2021 00:00:00,Queen of Sth,Arbroath,0.22722688,0.2742965,0.49847665,
SC2,18/09/2021 00:00:00,Clyde,Queens Park,0.19758292,0.28401592,0.51840115,
SC2,18/09/2021 00:00:00,Montrose,Alloa,0.5190411,0.24739438,0.23356454,
SC3,17/09/2021 00:00:00,Edinburgh City,Stirling,0.25867,0.27029955,0.47103038,
SC3,18/09/2021 00:00:00,Cowdenbeath,Forfar,0.3324044,0.2989842,0.36861143,
SC3,18/09/2021 00:00:00,Stranraer,Stenhousemuir,0.36202717,0.2871456,0.35082725,
SP1,18/09/2021 00:00:00,Vallecano,Getafe,0.4598774,0.25877973,0.2813429,
SP1,18/09/2021 00:00:00,Elche,Levante,0.41995907,0.2942262,0.28581473,
SP1,19/09/2021 00:00:00,Mallorca,Villarreal,0.49161053,0.2865811,0.22180836,
SP1,19/09/2021 00:00:00,Betis,Espanol,0.3806903,0.28556457,0.33374518,
SP1,20/09/2021 00:00:00,Barcelona,Granada,0.64923817,0.21335694,0.13740487,
SP2,18/09/2021 00:00:00,Cartagena,Lugo,0.4363727,0.3051032,0.2585241,
SP2,19/09/2021 00:00:00,Ponferradina,Malaga,0.40099877,0.29505643,0.3039448,
SP2,19/09/2021 00:00:00,Tenerife,Mirandes,0.50888103,0.26949283,0.22162609,
T1,18/09/2021 00:00:00,Sivasspor,Gaziantep,0.40422094,0.27816755,0.31761155,
T1,19/09/2021 00:00:00,Buyuksehyr,Fenerbahce,0.20500584,0.2746245,0.5203696,
